Winery Name,State,
Beringer Vineyards,CA,
Bernardo Winery,CA,
Bernardus Vineyards & Winery,CA,
Berryville Vineyards,IL,
Berrywine Plantations,MD,
Berthoud Vineyards And Winery,CA,
Bethel Heights Vineyard,OR,
Bettinelli Vineyards,CA,
Betz Family Winery,WA,
Biale,CA,
Bianchi Vineyards,CA,
Bias Vineyards & Winery,MO,
Bidwell Vineyards,NY,
Big Creek Vineyards,PA,
Bighorn Cellars,CA,
Big Pine Winery,WA,
Billsboro Winery,NY,
Biltmore Estate Winery,NC,
Birchfield Winery,WA,
Biscotti Family Winery,OH,
Bishop Farms & Winery,CT,
Bitner Vineayrds,ID,
Black Box Wines,CA,
Black Canyon Vineyards,CO,
Black Coyote Wines,CA,
Black Diamond Winery,WA,
Blackjack Ranch Vineyards & Winery,CA,
Black Mesa Winery,NM,
Black Sheep Winery,CA,
Blacksmiths Winery,ME,
Black Star Farms,MI,
Blackstock Vineyards,GA,
Blackstone Winery,CA,
Black Wolf Vineyards,NC,
Blackwood Canyon Vintners,WA,
Blankiet Estate Winery,CA,
Blenheim Vineyards,VA,
Blockhedia Winery,CA,
Bloomer Creek Vineyard,NY,
Blueberry Sky Farm Winery,NY,
"Blue Mountain Vineyard & Cellars, Ltd.",TX,
Blue Mountain Vineyards,PA,
Blue Ridge Winery,VA,
Blue Rock Vineyard & Wines,ID,
Blue Sky Vineyard,IL,
Blue Teal Vineyards,NM,
Blue Valley Vineyards,NE,
Bluff Dale Vineyards,TX,
Blumenhof Vineyards,MO,
Blum Street Cellars,TX,
Bodega Turner Winery,WA,
Boeger Winery,CA,
Bogle Vineyards,CA,
Bokisch Vineyards,CA,
Bommarito Estate Almond Tree Winery,MO,
Bonair Winery,WA,
Bonny Doon Vineyard,CA,
Bonterra Vineyards,CA,
Bookcliff Vineyards,CO,
Bookwalter Winery,WA,
Boordy Vineyards,MD,
Boskydel Vineyard,MI,
Botham Vineyards & Winery,WI,
Bouchaine Vineyards,CA,
Boudreaux Winery,WA,
Boulder Creek Winery,CO,
Boundary Rock Farm Winery,VA,
Bowers Harbor Vineyard,MI,
Boyden Valley Winery,VT,
Boyer Winery,CA,
Bradford Mountain Winery,CA,
Brandborg Cellars,CA,
Brandborg Vineyard & Winery,OR,
Brander Vineyard,CA,
Brandy Peak Distillery,OR,
Braren Pauli Winery,CA,
Brassfield Estate Winery & Vineyards,CA,
Braswell's Winery,AL,
Bravard Vineyards & Winery,KY,
B. R. Cohn Winery,CA,
Breaux Vineyards,VA,
Breezy Hills Vineyard,IA,
Breggo Cellars,CA,
Breitenbach Wine Cellars,OH,
Bressler Vineyards,CA,
Brewer Clifton,CA,
Brian Carter Cellars,WA,
Brick House Vineyards,OR,
Bridgeview Vineyards & Winery,OR,
Bridge Vineyards,NY,
Bridlewood Winery,CA,
Brigadoon Winery,WI,
Brigg's Hill Vineyard,OR,
Brimstone Hill Vineyard,NY,
Bristle Ridge Vineyards,MO,
Broadfields,NY,
Broad Hill Vineyards,MA,
Broadley Vineyards,OR,
Broad Run Vineyards,KY,
Brochelle Winery,CA,
Brogan Cellars,CA,
Broman Cellars,CA,
Brookmere Farm Vineyards,PA,
Brooks Wines,OR,
Brophy Clark Cellars,CA,
Brotherhood Winery,NY,
Brown County Winery,IN,
Brown Estate Vineyards & Winery,CA,
Bruno & George Winery,TX,
Brushy Creek Vineyards,TX,
Brutocao Cellars & Vineyard,CA,
Bryant Family Vineyard,CA,
Bryant Vineyards,AL,
Bryce Vineyard,OR,
Buccia Vineyards,OH,
Buckingham Valley Vineyards,PA,
Bucklin,CA,
Buckmaster Cellars,WA,
Buck Shoals Winery,NC,
Buehler Vineyards,CA,
Buena Vista Carneros,CA,
Buffalo Creek Winery,MO,
Buffalo Ridge,WA,
Bully Hill Vineyard,NY,
Bunchgrass Winery,WA,
Buoncristiani Family Winery,CA,
Burgess Cellars,CA,
Burnley Vineyards,VA,
Burrell School Vineyards,CA,
Burr Oak Winery,WI,
Butler Winery And Vineyards,IN,
Butterfly Creek Winery,CA,
Buttonwood Grove Winery,NY,
Buttonwood Winery,CA,
Buty Winery,WA,
Buzzard Crest Vineyards,NY,
Byington Winery,CA,
Bynum Winery,MO,
Byron Vineyard & Winery,CA,
Cabin Creek Vineyards,OK,
Cacciatore Fine Wines & Olive Oil,CA,
Cache River Basin Winery,IL,
Cadence Winery,WA,
Cafaro Cellars,CA,
Cain Vineyard & Winery,CA,
Cairn Canyon Winery,CA,
Cakebread Cellars,CA,
Calafia Cellars,CA,
Calatrasi Usa,WA,
Calcareous Vineyard,CA,
Caldwell Cellars,CA,
Calera Wine Company,CA,
California Cider Company,CA,
Calistoga Cellars,CA,
Callaghan Vineyards,AZ,
Callaway Coastal,CA,
Calvaresi Winery,PA,
Camaraderie Cellars,WA,
Camas Winery,ID,
Cambria Winery,CA,
Camellia Cellars,CA,
Camelot,CA,
Cameo Vineyards,IL,
Cameron Winery,OR,
Campion Wines,CA,
Canadian River Winery,OK,
Canandaigua Wine Company,NY,
Cana Vineyards,ID,
Canelo Hills Vineyard & Winery,AZ,
Canoe Ridge Winery,WA,
Canon De Sol Winery,WA,
Cantiga Wine Works,CA,
Canyon Road Winery,CA,
Canyon Wind Cellars,CO,
Cape Cod Winery,MA,
Cape May Winery & Vineyard,NJ,
Capiaux Cellars,CA,
Cap*rock Winery,TX,
Carabella Vineyard,OR,
Cardinale Estate Winery,CA,
Cardinal Point Winery,VA,
Carlo & Julian Winery,OR,
Carlos Creek Winery,MN,
Carlson Vineyards,CO,
Carlton Cellars,OR,
Carlton Winemakers Studio,OR,
Carmela Vineyards,ID,
Carmel Road,CA,
Carmenet Vineyards,CA,
Carmody-McKnight Estate Wines,CA,
Carneros Creek Winery,CA,
Carneros Della Notte,CA,
Carolina Vineyards Winery,SC,
Carol Shelton Wines,CA,
Carousel Winery,IN,
Carpenter Creek Winery,WA,
Carter Cellars,CA,
Cartlidge & Browne,CA,
Carver Sutro,CA,
Casa Carneros Vineyard,CA,
Casa Cassara Winery & Vineyards,CA,
Casa De Caballos Vineyards,CA,
Casa De Fruta,CA,
Casa De Sue Winery & Vineyards,LA,
Casa Larga Vineyards,NY,
Casa Nuestra Winery,CA,
Casa Rondeña,NM,
Cascade Cliffs Winery,WA,
Cascade Mountain Winery,NY,
Cascata Winery,NY,
Castel Grisch Winery,NY,
Castello Di Borghese,NY,
Castle Creek Winery,UT,
Castle Rock Winery,CA,
Castle Vineyards,CA,
Castoro Cellars,CA,
Catacula Lake Winery,CA,
Caterina Winery,WA,
Cathedral Ridge Winery,OR,
Catherine Valley Winery,NY,
Catoctin Winery,MD,
Cavatappi Winery,WA,
Cave B Estate Winery,WA,
Cave Vineyard,MO,
Caymus Vineyards,CA,
Cayuga Ridge Estate Winery,NY,
Cayuse Vineyards,WA,
Caywood Vineyards,NY,
Cedar Creek Winery,WI,
Cedar Mountain Winery,CA,
Cedarville Vineyard,CA,
Ceja Vineyards,CA,
Cellardoor Winery / Cyder Valley Farm,ME,
Cellars De Santom,IL,
Century House Winery & Vineyard,KY,
Cerminaro Vineyard,NC,
Cerro Caliente Cellars,CA,
Chaddsford Winery,PA,
Chalet Debonné Vineyards,OH,
Chaleur Estate,WA,
Chalk Hill Estate Vineyards & Winery,CA,
Chamard Vineyards,CT,
Chameleon Cellars,CA,
Champagne Creek Cellars,OR,
Champoeg Wine Cellars,OR,
Chandelle Winery,CA,
Chandler Reach Vineyards,WA,
Changala Winery,CA,
Channing Daughters Winery,NY,
Chanticleer,CA,
Chapel Cellars,MD,
Chappellet Winery,CA,
Charles B. Mitchell Vineyards,CA,
Charles Creek Vineyard,CA,
Charles John Vineyards,NY,
Charles Krug,CA,
Charles Spinetta Winery,CA,
Charleville Vineyards,MO,
Charron Vineyards,AZ,
Charter Oak Winery,CA,
Chase Family Cellars,CA,
Chateau Aux Arc Vineyards & Winery,AR,
Chateau Benoit Winery,OR,
Chateau Bianca Winery,OR,
Chateau Chantal,MI,
Chateau De Leelanau Vineyard & Winery,MI,
Chateau Du Vieux Corbeau,KY,
Chateau Elan Winery,GA,
Chateau Elan Winery,GA,
Chateau Faire Le Pont,WA,
Chateau Felice,CA,
Chateau Fontaine,MI,
Chateau Gallant,WA,
Chateau Grand Traverse Winery,MI,
Chateau Julien,CA,
Chateau Lafayette Reneau,NY,
Chateau Laurinda,NC,
Chateau Lorane,OR,
Chateau Margene,CA,
Chateau Montelena Winery,CA,
Chateau Morrisette Winery,VA,
Chateau Pomije Winery,IN,
Chateau Potelle,CA,
Chateau Ra-Ha Winery,IL,
Chateau Rodin,CA,
Chateau Ross Vineyards & Winery,TN,
Chateau Sassenage,NM,
Chateau Sinnet,CA,
Chateau Souverain,CA,
Chateau St. Croix,WI,
Chateau Ste. Michelle,WA,
Chateau St. Jean,CA,
Chateau Thomas Winery,IN,
Chateau Valerio,MI,
Chateau Woltner,CA,
Chatham Hill Winery,NC,
Chatom Vineyards,CA,
Chatter Creek,WA,
Chaumette Winery,MO,
Chautauqua Vineyards & Winery,FL,
Chehalem,OR,
Cherry Creek Cellars,MI,
Cherry Hill Winery,OR,
Cherry Valley Vineyards,PA,
Chester Hill Winery,MA,
Chestnut Hill Winery,TN,
Chiappone's Cellars,NY,
Chicama Vineyards,MA,
Childress Vineyards,NC,
Chimney Rock Winery,CA,
China Bend Vineyard,WA,
Chinnock Cellars,CA,
Chinook Wines,WA,
Chisholm Trail Winery,TX,
Chouinard Vineyards,CA,
Ch. Renaissance Wine Cellars,NY,
Chrisman Mill Vineyards & Winery,KY,
Christensen Ridge Winery,VA,
Christian Herschler,IA,
Christian W. Klay Winery,PA,
Christine Woods Winery,CA,
Christopher Creek Winery,CA,
Chrysalis Vineyards,VA,
Chumeia Vineyards,CA,
Church Street Winery & Via Vineyards,MA,
Churon Winery,CA,
Ciccone Winery,MI,
Cicero Winery,OH,
Cilurzo Vineyard & Winery,CA,
Cima Collina,CA,
Cimarron Cellars,OK,
Cinnabar Vineyards & Winery,CA,
Circle S Vineyards,TX,
Ck Mondavi Vineyards,CA,
Claar Cellars,WA,
Claiborne & Churchill Vintners,CA,
Claiborne Vineyard,MS,
Claire's Grand River Winery,OH,
Clark-Claudon Vineyards,CA,
Claudia Springs Winery,CA,
Clautiere Vineyard,CA,
Clear Creek Distillery,OR,
ClearWeather Wines,MT,
Clinch Mountain Winery,TN,
Cline Cellars,CA,
Clinton Vineyards,NY,
Clos Du Bois,CA,
Clos Du Lac Cellars,CA,
Clos Du Val Wine Co.,CA,
Clos La Chance Wines,CA,
Clos Mimi,CA,
Clos Pegase Winery,CA,
Clos Pepe Vineyards,CA,
Clos Saron,CA,
Clos Tita Winery,CA,
Cloud9Wine,CA,
Clover Hill Vineyards & Winery,PA,
Coates Vineyards,CA,
Cobblestone Farm Winery,NY,
Cobb Wines,CA,
Cocetti Wines,CO,
Coeur D'alene Cellars,ID,
Coffee Cake Winery,OH,
Cold Heaven Cellars,CA,
Cold Spring Winery,ID,
Cole Bailey Vineyards,CA,
Coleman Vineyard,OR,
Colgin Cellars,CA,
Colibri Vineyard & Winery,AZ,
Collier Falls Vineyards,CA,
Collver Family Winery,IL,
Colony Cellars,TX,
Colorado Cellars,CO,
Col Solare Wines,WA,
Columbia Crest Winery,WA,
Columbia Gorge Winery,WA,
Columbia Winery,WA,
Colvin Vineyards,WA,
Comfort Cellars,TX,
Concannon Vineyard,CA,
Confre Cellars,CO,
Conn Creek Winery,CA,
Conneaut Cellars Winery,PA,
Consilience,CA,
Constant Wine,CA,
Contessa Wine Cellars,MI,
Cooper - Garrod Vineyards,CA,
Cooper Mountain,OR,
Cooper Vineyards,VA,
Copain Wine Cellars,CA,
Copeland Creek Vineyards,CA,
Copernica Vineyards,MD,
Corbett Canyon,CA,
Cordon Creek,CA,
Cordova Cellars Winery,TN,
Corey Creek Vineyards,NY,
Corison Winery,CA,
Corkscrew Winery & The Wine Shoppe Co.,FL,
Corley Vineyards Dba Amber Ridge Vineyards,CO,
Cornerstone Cellars,CA,
Corrales Winery,NM,
Corus Brands,WA,
Cosentino Winery,CA,
Costa De Oro Winery,CA,
Cottonwood Canyon,CA,
Cottonwood Cellars,CO,
Coturri Winery,CA,
Cougar Crest Winery,WA,
Coulson El Dorado Winery,CA,
Country Creek Winery,PA,
Countryside Vineyards & Winery,TN,
Coventry Vale,OR,
Coventry Vale Winery,WA,
Cove Point Winery,MD,
Covey Run,WA,
Cowie Wine Cellars,AR,
Coyote Crest Vineyards & Winery,CA,
Crane Canyon Cellars,CA,
Crane Creek Vineyards,GA,
Crane Family Vineyards,CA,
Cream Ridge Winery,NJ,
Creekside Cellars,CO,
Crescent Mountain Vineyards,SC,
Crescini Wines,CA,
Cribari Wines,CA,
Crichton Hall Vineyard,CA,
Crinella Winery,CA,
Cristom Vineyards,OR,
Crocker & Starr,CA,
Croft Bailey Vineyards,OR,
Cronos,OR,
Crooked Lake Winery,NY,
Crooked Vine Winery,CA,
Crossing Vineyards,PA,
Crossroads Vineyards & Winery,TX,
Cross Timbers Winery,TX,
Crown Valley Winery,MO,
Croze Wines,CA,
C.R. Sandidge Wines,WA,
Crystal Basin Cellars,CA,
C.T. Miller Vineyard,PA,
Cuneo Cellars,OR,
Curtis Winery.Com,CA,
Cuthills Vineyards,NE,
Cuvaison Winery,CA,
Cygnus Wine Cellars,MD,
Daedalus Cellars,OR,
D'Agostini Winery,CA,
Dakotah Vineyards & Winery,FL,
Dalla Valle Vineyards,CA,
Daly Creek Vineyard & Winery,IA,
Damiani Wine Cellars,NY,
D'Anbino Vineyards,CA,
Daniel Cellars,VA,
Daniel Gehrs Wines,CA,
Daniel Vineyards,WV,
Dankorona Winery,OH,
Darcie Kent Winery,CA,
D'Argenzio Winery,CA,
Darighe,WA,
Darioush Winery,CA,
Dark Mountain Vineyard & Winery,AZ,
Dark Star Cellars,CA,
Dashe Cellars,CA,
Daume Winery,CA,
Davenport Winery,KS,
David Bruce Winery,CA,
David Coffaro Estate Winery,CA,
David Frost Wines,TX,
David Hill Winery,OR,
David Noyes Wines,CA,
Davis Bynum Winery,CA,
Davis Family Vineyards,CA,
D-Cubed Cellars,CA,
Deaver Vineyards,CA,
Debeque Canyon Winery,CO,
Deep Creek Winery,MD,
Deer Creek Vineyard,OK,
Deerfield Ranch Winery,CA,
Deer Meadow Vineyard,VA,
Deer Run Winery,NY,
Dehlinger Winery,CA,
De La Montanya Vineyards & Winery,CA,
Delaney Vineyards,TX,
Del Dotto Vineyards,CA,
Delectus Winery,CA,
Delicato Vineyards,CA,
Delille Cellars,WA,
De Loach Vineyards,CA,
De Loach Vineyards,CA,
De Lorimier Winery,CA,
Del Rio Vineyards,OR,
Deluca Vineyards,OH,
Demarco Vineyards,NY,
Demarest Hill Winery,NY,
Demuth Winery,CA,
Denali Winery,AK,
De Natale Vineyards,CA,
Denino Umpqua River Vineyards,OR,
Dennis Vineyards,NC,
Deponte Cellars,OR,
Derbes Wine,CA,
Derose Vineyards,CA,
Desert Hills Winery,WA,
Desi's Dew Meadery,NC,
Destino Wines,CA,
Detert Family Vineyards,CA,
Deux Amis Winery,CA,
Diamond Creek Vineyards,CA,
Diamond Head,HI,
Diamond Hill Vineyards,RI,
Diamond Terrace,CA,
Dicarlo Winery,CA,
Dickerson Vineyard,CA,
Digrazia Winery,CT,
Dimatteo Vineyards,NJ,
Dimmick Cellars,OR,
Di Stefano Winery,WA,
D. K. Cellars,CA,
Dobra Zemla,CA,
Doce Robles,CA,
Dolce Winery,CA,
Domaine Alfred Winery,CA,
Domaine Becquet Winery,CA,
Domaine Berrien Cellars & Winery,MI,
Domaine Carneros,CA,
Domaine Chandon,CA,
Domaine Charbay Winery & Distillery,CA,
Domaine Coteau,OR,
Domaine Danica Winery,CA,
Domaine De La Terre Rouge,CA,
Domaine Drouhin Oregon,OR,
Domaine Meriwether,OR,
Domaine Santa Barbara,CA,
Domaines Ellam,AZ,
Domaine Serene Vineyards,OR,
Domaine Ste. Michelle,WA,
Domaine St. George Winery,CA,
Domaine St. Gregory,CA,
Domes Winery,NY,
Dominion Wine Cellars,VA,
Dominus Estate,CA,
Door Peninsula Winery,WI,
Dos Cabezas Winery & Vineyard,AZ,
Dover Canyon Winery,CA,
Downing Family Vineyards,CA,
Dozier Vineyard & Winery,KS,
Dreyer Sonoma,CA,
Dr. Frank's Vinifera Wine Cellars,NY,
Driftwood Vineyards,TX,
D. R. Stephens Estate,CA,
Dry Comal Creek Vineyards,TX,
Dry Creek Vineyard,CA,
Drytown Cellars,CA,
Duckhorn Vineyards,CA,
Duck Pond Cellars,OR,
Duck Walk Vineyards,NY,
Duckworth Winery,TX,
Dumol Wine Company,CA,
DuNah Vineyard & Winery,CA,
Duncan Peak Vineyards,CA,
Dundee Springs,OR,
Dune Ridge Winery,IN,
Dunham Cellars,WA,
Dunnewood Vineyards,CA,
Dunning Vineyards,CA,
Duplin Winery,NC,
Dusinberre Cellars,CA,
Dusky Goose,OR,
Dutch Bill Creek Winery,CA,
Dutcher Crossing Winery,CA,
Dutch Henry Winery,CA,
Dutton Estate Winery,CA,
Dutton-Goldfield,CA,
Dyer Vineyard,CA,
Dye's Vineyard,VA,
Dzugas Vineyards,NY,
Eagle And Rose Winery,CA,
Eagle Castle Winery,CA,
Eagle City Winery,IA,
Eagle Creek Winery,WA,
Eagle Crest Vineyards,NY,
Eaglepoint Ranch Winery,CA,
Eagle Rock Winery,PA,
Eagles' Crest Vineyard,PA,
Eagles Landing Vineyard And Winery,IA,
"Eagles Nest Winery, The",MO,
Earle Estates Meadery & Winery,NY,
Earl Nelson Mitchell Winery,NC,
Easley Winery,IN,
Eaton Hill Winery,WA,
Eberle Winery,CA,
E. B. Foote Winery,WA,
Echo Canyon Vineyard & Winery,AZ,
Eckert Winery,CA,
Edenvale Estate,OR,
Eden Vineyards & Winery,FL,
Edgefield Winery,OR,
Edgewood Estate,CA,
Edmeades Winery,CA,
Edmunds St. John,CA,
Ehlers Estate,CA,
Ehlers Grove Winery,CA,
Ehrle Brothers Winery,IA,
Eichenberg Winery,MO,
E & K Winery / The Winery of Sandusky,OH,
Elan Vineyards,CA,
Elk Cove Vineyards,OR,
Elke Vineyards,CA,
Elk Hill Winery,NY,
Elkhorn Peak Cellars,CA,
Elk Prairie Vineyard,CA,
Elk Run Vineyards,MD,
Elliott Family Cellars,CA,
Elliston Vineyards,CA,
El Molino Winery,CA,
El Paso Winery,NY,
Elyse Winery,CA,
Emelios Terrace,CA,
Emerald Coast Wine Cellars,FL,
Enat Winery,CA,
Engelmann Cellars,CA,
English Estate Winery,WA,
Eola Hills Wine Cellars,OR,
Eos Estate Winery,CA,
Epiphany Cellars,CA,
Equinox Wines,CA,
Equus Run Vineyards,KY,
Erath Vineyards,OR,
Eric Ross Winery,CA,
Esquisse Winery & Vineyards,CA,
Estancia Estates,CA,
Esterlina Vineyards & Winery,CA,
Etude Wines,CA,
Eugene Wine Cellars,OR,
Everett Ridge Vineyards & Winery,CA,
Evergreen Valley Vineyards,PA,
Evesham Wood Winery,OR,
Evolution,OR,
"Eyrie Vineyards, The",OR,
Facelli Winery,WA,
Failla Wines,CA,
Fairwinds Winery,WA,
Falconer Vineyards,MN,
Falkner Winery,CA,
Fall Creek Vineyards,TX,
Fanucchi Vineyards,CA,
Farfelu Vineyards,VA,
Far Niente Winery,CA,
Favero Vineyards,CA,
Fawncrest Vineyards,TX,
Feliciana Cellars Winery,LA,
Felton Crest Vineyards,DE,
Fenestra Winery,CA,
Fenn Valley Vineyards,MI,
Ferrante Winery,OH,
Ferrari-Carano Vineyards & Winery,CA,
Ferriere Vineyards,CA,
Ferrigno Winery,MO,
Ferrin's Fruit Winery,IN,
Fess Parker Winery & Vineyard,CA,
Fetzer Vineyards,CA,
Ficklin Vineyard,CA,
Fiddlehead Cellars,CA,
Fieldbrook Valley Winery,CA,
Fielding Hills Winery,WA,
Fieldstone Vineyards,MN,
Field Stone Winery & Vineyard,CA,
Fife Vineyards,CA,
Fincastle Vineyard,VA,
Finger Lakes Champagne House,NY,
Fiore Winery,MD,
Firefall Vineyards,CA,
Firelands Winery,OH,
Firesteed Cellars,WA,
Firestone Vineyard,CA,
First Colony Winery,VA,
Fisher Ridge Winery,WV,
Fisher Vineyards,CA,
FishEye Winery,CA,
Fitzpatrick Winery & Lodge,CA,
Five Star Cellars,WA,
Five Vintenters,CA,
Flag Hill Winery,NH,
Flat Creek Estate Winery,TX,
Flickerwood Wine Cellars,PA,
Flint Ridge Vineyards,OH,
Floating Feather Vineyard,ID,
Floodgate Vineyard,CA,
Flora Springs Winery & Vineyards,CA,
Florida Estates Winery,FL,
Florida Orange Groves & Winery,FL,
Flowers Vineyard & Winery,CA,
Foley Estate Vineyard & Winery,CA,
Folie-A-Deux,CA,
Fontana Di Vita Vineyards,CA,
